GROUND|CITY|COUNTRY
Adelaide Oval|Adelaide|Australia
Aga Khan Sports Club Ground|Nairobi|Kenya
Al Amerat Cricket Ground|Al Amarat|Oman
Albion Sports Complex|Albion, Berbice, Guyana|West Indies
AMI Stadium|Christchurch|New Zealand
Amini Park|Port Moresby|Papua New Guinea
Antigua Recreation Ground|St. John's, Antigua|West Indies
ANZ Stadium|Sydney|Australia
Arbab Niaz Stadium|Peshawar|Pakistan
Arnos Vale Ground|Kingstown, St. Vincent|West Indies
Asgiriya Stadium|Kandy|Sri Lanka
Ayub National Stadium|Quetta|Pakistan
Bagh-e-Jinnah|Lahore|Pakistan
Bahawal Stadium|Bahawalpur|Pakistan
Bangabandhu National Stadium|Dhaka (Dacca)|Bangladesh
Barabati Stadium|Cuttack|India
Barkatullah Khan Stadium|Jodhpur|India
Barsapara Cricket Stadium|Guwahati|India
Basin Reserve|Wellington|New Zealand
Bay Oval|Mount Maunganui|New Zealand
Bayuemas Oval|Kuala Lumpur|Malaysia
Bellerive Oval|Hobart|Australia
Berri Oval|Berri|Australia
Bert Sutcliffe Oval|Lincoln|New Zealand
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium|Lucknow|India
Boland Park|Paarl|South Africa
Bourda|Georgetown, Guyana|West Indies
Brabourne Stadium|Mumbai|India
Bramall Lane|Sheffield|England
Bready Cricket Club|Bready|Ireland
Brisbane Cricket Ground|Brisbane|Australia
Buffalo Park|East London|South Africa
Bugti Stadium|Quetta|Pakistan
Bulawayo Athletic Club|Bulawayo|Zimbabwe
Cambusdoon New Ground|Ayr|Scotland
Captain Roop Singh Stadium|Gwalior|India
Carisbrook|Dunedin|New Zealand
Cazaly's Stadium|Cairns|Australia
Central Broward Regional Park|Lauderhill, Florida|United States
City Oval|Pietermaritzburg|South Africa
Civil Service Cricket Club|Belfast|Ireland
Clontarf Cricket Club Ground|Dublin|Ireland
Cobham Oval (New)|Whangarei|New Zealand
Colombo Cricket Club Ground|Colombo|Sri Lanka
County Ground (Bristol)|Bristol|England
County Ground (Chelmsford)|Chelmsford|England
County Ground (Derby)|Derby|England
County Ground (Hove)|Hove|England
County Ground (Northampton)|Northampton|England
County Ground (Southampton)|Southampton|England
County Ground (Taunton)|Taunton|England
Cricket, Skating & Curling Club|Toronto|Canada
Darren Sammy National Cricket Stadium|Gros Islet, St Lucia|West Indies
Defence Housing Authority Stadium|Karachi|Pakistan
Devonport Oval|Devonport|Australia
Diamond Oval|Kimberley|South Africa
Dr YS Rajasekhara Reddy Cricket Stadium|Visakhapatnam|India
Dubai International Cricket Stadium|Dubai|United Arab Emirates
Eastern Oval|Ballarat|Australia
Eden Gardens|Kolkata|India
Eden Park|Auckland|New Zealand
