Official name,City,Country
Melbourne Cricket Ground,"Melbourne, Victoria",Australia
MCG,"Melbourne, Victoria",Australia
The Oval,London,England
Sydney Cricket Ground,"Sydney, New South Wales",Australia
SCG,"Sydney, New South Wales",Australia
Old Trafford,Manchester,England
Lord's,London,England
Adelaide Oval,"Adelaide, South Australia",Australia
St George's Park,"Port Elizabeth, Eastern Cape",South Africa
Newlands,"Cape Town, Western Cape",South Africa
Old Wanderers,"Johannesburg, Gauteng",South Africa
Trent Bridge,"Nottingham, Nottinghamshire",England
Headingley,"Leeds, West Yorkshire",England
Edgbaston,"Birmingham, West Midlands",England
Bramall Lane,"Sheffield, South Yorkshire",England
Lord's No. 1 Ground,"Durban, KwaZulu-Natal",South Africa
Kingsmead,"Durban, KwaZulu-Natal",South Africa
Brisbane Exhibition Ground,"Brisbane, Queensland",Australia
The Ekka,"Brisbane, Queensland",Australia
AMI Stadium,"Christchurch, Canterbury",New Zealand
Lancaster Park,"Christchurch, Canterbury",New Zealand
Jade Stadium,"Christchurch, Canterbury",New Zealand
Kensington Oval,"Bridgetown, Barbados",West Indies
The Mecca,"Bridgetown, Barbados",West Indies
Basin Reserve,Wellington,New Zealand
The Basin,Wellington,New Zealand
Queen's Park Oval,"Port of Spain, Trinidad and Tobago",West Indies
Eden Park,Auckland,New Zealand
Bourda,"Georgetown, Guyana",West Indies
Sabina Park,"Kingston, Jamaica",West Indies
Bina,"Kingston, Jamaica",West Indies
Brisbane Cricket Ground,"Brisbane, Queensland",Australia
The Gabba,"Brisbane, Queensland",Australia
Gymkhana Ground,"Mumbai, Maharashtra",India
Bombay Gymkhana Ground,"Mumbai, Maharashtra",India
Eden Gardens,"Kolkata, West Bengal",India
M. A. Chidambaram Stadium ,"Chennai, Tamil Nadu",India
Chepauk Stadium,"Chennai, Tamil Nadu",India
Feroz Shah Kotla Ground,"New Delhi, Delhi",India
Kotla,"New Delhi, Delhi",India
Brabourne Stadium,"Mumbai, Maharashtra",India
Ellis Park Stadium,"Johannesburg, Gauteng",South Africa
Ellis Park,"Johannesburg, Gauteng",South Africa
Green Park Stadium,"Kanpur, Uttar Pradesh",India
University Ground,"Lucknow, Uttar Pradesh",India
Bangabandhu National Stadium,"Motijheel, Dhaka, Dhaka Division",Bangladesh
Bahawal Stadium,"Bahawalpur, Punjab",Pakistan
Bagh-e-Jinnah (Lawrence Gardens),"Lahore, Punjab",Pakistan
Peshawar Club Ground,"Peshawar, Khyber Pakhtunkhwa",Pakistan
National Stadium,"Karachi, Sindh",Pakistan
Carisbrook,"Dunedin, Otago",New Zealand
Lal Bahadur Shastri Stadium(Fateh Maidan),"Hyderabad, Telangana",India
Nehru Stadium,"Chennai, Tamil Nadu",India
New Wanderers Stadium (The Wanderers),"Johannesburg, Gauteng",South Africa
Gaddafi Stadium (Lahore Stadium),"Lahore, Punjab",Pakistan
Pindi Club Ground,"Rawalpindi, Punjab",Pakistan
Vidarbha Cricket Association Ground,"Nagpur, Maharashtra",India
"VCA, Nagpur","Nagpur, Maharashtra",India
Western Australian Cricket Association Ground,"Perth, Western Australia",Australia
The WACA,"Perth, Western Australia",Australia
Niaz Stadium,"Hyderabad, Sindh",Pakistan
M. Chinnaswamy Stadium,"Bangalore, Karnataka",India
Chinnaswamy Stadium,"Bangalore, Karnataka",India
Wankhede Stadium,"Mumbai, Maharashtra",India
Iqbal Stadium,"Faisalabad, Punjab",Pakistan
McLean Park,"Napier, Hawke's Bay",New Zealand
Ibn-e-Qasim Bagh Stadium,"Multan, Punjab",Pakistan
Antigua Recreation Ground,"St. John's, Antigua and Barbuda",West Indies
The Rec,"St. John's, Antigua and Barbuda",West Indies
Paikiasothy Saravanamuttu Stadium,"Colombo, Western Province",Sri Lanka
Saravanamuttu Stadium,"Colombo, Western Province",Sri Lanka
Asgiriya Stadium,"Kandy, Central Province",Sri Lanka
Gandhi Stadium,"Jalandhar, Punjab",India
Sardar Patel Stadium,"Ahmedabad, Gujarat",India
Motera Stadium,"Ahmedabad, Gujarat",India
Sinhalese Sports Club Ground,"Colombo, Western Province",Sri Lanka
SSC,"Colombo, Western Province",Sri Lanka
Colombo Cricket Club Ground,"Colombo, Western Province",Sri Lanka
CCC,"Colombo, Western Province",Sri Lanka
Jinnah Stadium,"Sialkot, Punjab",Pakistan
Sialkot Stadium,"Sialkot, Punjab",Pakistan
Barabati Stadium,"Cuttack, Odisha",India
Sawai Mansingh Stadium,"Jaipur, Rajasthan",India
Bellerive Oval,"Hobart, Tasmania",Australia
Sector 16 Stadium,"Chandigarh, Chandigarh",India
Seddon Park,"Hamilton, Waikato",New Zealand
Jinnah Stadium,"Gujranwala, Punjab",Pakistan
Ranasinghe Premadasa Stadium,"Colombo, Western Province",Sri Lanka
Premadasa Stadium/ RPS Stadium,"Colombo, Western Province",Sri Lanka
Tyronne Fernando Stadium,"Moratuwa, Western Province",Sri Lanka
Fernando Stadium,"Moratuwa, Western Province",Sri Lanka
Harare Sports Club,"Harare, Mashonaland",Zimbabwe
formerly Salisbury Sports Club,"Harare, Mashonaland",Zimbabwe
